"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"あいまい";"aimai";"tidak jelas; ambigu, teduh; jelek, tidak jelas ; menari bersama secara serempak (di noh, kyogen, dll.)"
"あう";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk ; untuk berkumpul; menggabungkan; untuk bersatu; untuk bertemu, untuk menyesuaikan diri; untuk mencocokkan; sesuai; untuk setuju dengan; menjadi benar, menjadi menguntungkan; bersikap adil, untuk melakukan... satu sama lain; untuk melakukan... bersama"
"あおぐ";"aogu";"untuk melihat ke atas (pada), untuk melihat ke atas; untuk menghormati, meminta (misalnya bimbingan); mencari; untuk berpaling kepada (seseorang) untuk, diandalkan; mengandalkan, untuk menelan; untuk bersuara; untuk minum ; mengipasi, menghasut; untuk menghasut"
"あおじろい";"aojiroi";"pucat, putih kebiruan"
"あかんぼう";"akanbou";"Sayang; bayi"
"明き";"aki";"ruang angkasa; ruang; celah; kekosongan, kekosongan; pembukaan; kursi kosong, waktu luang, tidak digunakan; barang yang tidak terpakai"
"あきれる";"akireru";"menjadi kagum; terkejut; menjadi heran; menjadi tercengang; merasa jijik; menjadi jengkel; menjadi muak"
"あくび";"akubi";"menguap, kanji "menguap" radikal (radikal 76) ; hari yang kurang beruntung"
"あくまで";"akumade";"sampai akhir; menuju akhir yang pahit; dengan keras kepala; terus-menerus; secara konsisten; semaksimal mungkin, ; itu harus diingat; hanya; murni; secara sederhana"
"明け方";"akegata";"fajar"
"あげる";"ageru";"untuk meningkatkan; untuk meninggikan, mengangkat (rambut seseorang), terbang (layang-layang, dll.); untuk meluncurkan (kembang api, dll.); ke permukaan (kapal selam, dll.), mendarat (perahu), menggoreng, untuk mengajak seseorang (ke dalam ruangan), memberi, menyuruh seseorang (pergi), untuk mendaftarkan (anak seseorang bersekolah); untuk mendaftar, untuk meningkatkan (harga, kualitas, status, dll.); untuk mengembangkan (bakat, keterampilan); untuk meningkatkan, membuat (suara keras); meninggikan (suara), mendapatkan (sesuatu yang diinginkan), memuji, memberi (contoh, dsb.); mengutip, memanggil (seluruh energi seseorang, dll.), menangkap, menominasikan, memanggil (untuk geisha, dll.), mempersembahkan (dupa, doa, dll.) kepada para dewa (atau Buddha, dll.), untuk melahirkan (seorang anak), untuk melakukan (upacara, khususnya pernikahan), (saat air pasang) untuk masuk, muntah, untuk melakukan demi (demi orang lain), untuk menyelesaikan..., dengan rendah hati melakukan..."
"あこがれる";"akogareru";"untuk merindukan; untuk dirindukan; untuk mengagumi; untuk tertarik"
"味わう";"ajiwau";"untuk merasakan; untuk menikmati, menghargai; untuk menikmati; untuk mencerna, mengalami; untuk melewati; sesuai selera (misalnya kemenangan); untuk mengetahui (misalnya nyeri)"
"預かる";"azukaru";"untuk menjaga; untuk mengurus; untuk berpegang pada; untuk ditahan, untuk ditugaskan; untuk diberi tanggung jawab; untuk dipercayakan, untuk menahan (pengumuman); untuk memesan (penilaian); untuk meninggalkan ragu-ragu, untuk mengambil alih diri sendiri (melakukan); untuk menyelesaikan (masalah) diri sendiri"
"あたたまる";"atatamaru";"untuk menghangatkan diri; untuk berjemur; untuk pemanasan; untuk menjadi hangat"
"あたためる";"atatameru";"untuk menghangatkan; untuk memanaskan ; suam-suam kuku, hangat; ringan"
"あたりまえ";"atarimae";"alami; wajar; jelas, biasa; umum; norma"
"あちらこちら";"achirakochira";"di sana-sini; semuanya; di mana pun; selama; seluruh, untuk mendapatkan segala sesuatunya dalam urutan yang salah (belakang ke depan); menjadi kacau"
"あっしゅく";"asshuku";"kompresi; kondensasi; penyempitan; pemadatan"
"厚かましい";"atsukamashii";"kurang ajar; tidak tahu malu"
"あてな";"atena";"nama (penerima); nama dan alamat (penerima)."
"あてはまる";"atehamaru";"untuk menerapkan (aturan); untuk dapat diterapkan; untuk berada di bawah (suatu kategori); untuk memenuhi; untuk tetap benar"
"あてはめる";"atehameru";"untuk melamar; untuk beradaptasi"
"暴れる";"abareru";"untuk bertindak kekerasan; marah; untuk berjuang; menjadi rusuh"
"あふれる";"afureru";"meluap; untuk meluap; banjir"
"脂";"abura ; yani";"gemuk; lemak; lemak babi ; damar, (tembakau) damar; ter; nikotin, tidur (di mata, misalnya lendir mata)"
"あぶる";"aburu";"untuk menghangatkan (misalnya tangan di atas api); untuk mengeringkan, untuk bersulang; memanggang; untuk memanggang; hangus"
"雨戸";"amado";"penutup badai geser"
"甘やかす";"amayakasu";"untuk memanjakan; merusak"
"余る";"amaru";"untuk tetap; untuk ditinggalkan; menjadi berlebihan; menjadi terlalu banyak"
"編物";"amimono";"rajutan; bahan rajutan; merenda"
"編む";"amu";"untuk merajut; untuk menganyam; untuk mengepang, untuk mengkompilasi (antologi, kamus, dll.); untuk mengedit"
"危うい";"ayaui";"berbahaya; Dalam bahaya; menghadapi bahaya, genting (situasi); berbahaya (keadaan, keseimbangan, dll.); dalam keraguan; dalam bahaya; tidak pasti; merasa tidak aman; tentang; mengkhawatirkan"
"あやしい";"ayashii";"mencurigakan; meragukan; dipertanyakan; cerdik; teduh, meragukan; tidak yakin; tidak pasti; tidak sepertinya; tidak masuk akal, tidak dapat dipercaya; tidak bisa diandalkan; kikuk; canggung; goyah; malang, aneh; Seram; menyeramkan; luar biasa, tidak menyenangkan (misalnya cuaca); mengancam; berbahaya (misalnya situasi keuangan); tidak pasti, mencurigakan (tentang potensi hubungan asmara), misterius; menyihir; menarik; mempesona ; gaib; menyihir; menarik; mempesona"
"あらい";"arai";"kasar; liar; brutal; garang; berat (misalnya bernapas), tidak wajar; boros; ceroboh ; mencuci, sashimi dingin dalam air es"
"荒い";"arai";"kasar; liar; brutal; garang; berat (misalnya bernapas), tidak wajar; boros; ceroboh"
"あらすじ";"arasuji";"garis besar; ringkasan; argumen"
"争う";"arasou ; aragau";"untuk bersaing; untuk berkompetisi, bertengkar; untuk berdebat; untuk berselisih; menjadi berbeda; untuk menentang, menyangkal (misalnya bukti) ; untuk melawan; bertarung melawan; untuk menolak"
"改めて";"aratamete";"lain waktu; lagi; sekali lagi; baru, secara formal; khususnya; dengan sengaja"
"改める";"aratameru";"Untuk mengganti; untuk mengubah; untuk merevisi; untuk menggantikan, untuk mereformasi; membenarkan; untuk memperbaiki; untuk meningkatkan, untuk memeriksa, melakukannya dengan benar; untuk melakukan secara formal"
