"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"あいさつ";"aisatsu";"salam; sapaan; salut; bela sungkawa; selamat, pidato (ucapan selamat atau apresiasi); alamat, balas; tanggapan, balas dendam; pembalasan, hal yang baik untuk dikatakan, berdialog (dengan praktisi Zen lain untuk memastikan tingkat pencerahan mereka), hubungan (antar orang); koneksi, intervensi; mediasi; penengah"
"愛情";"aijou";"Cinta; kasih sayang"
"愛する";"aisuru";"mencintai"
"合図";"aizu";"tanda; sinyal; isyarat"
"相手";"aite";"pendamping; mitra; perusahaan, pihak lain; penerima, lawan (olahraga, dll.)"
"あいにく";"ainiku";"Sayangnya; maaf tapi..."
"明かり";"akari";"lampu; penerangan; binar; kilau, lampu"
"空き";"aki";"ruang angkasa; ruang; celah; kekosongan, kekosongan; pembukaan; kursi kosong, waktu luang, tidak digunakan; barang yang tidak terpakai"
"明らか";"akiraka";"jernih; jelas; polos; pasti, cerah; lampu"
"あきらめる";"akirameru";"menyerah; untuk meninggalkan (harapan, rencana); untuk mengundurkan diri (untuk) ; untuk menjelaskan; untuk memperjelas"
"あきる";"akiru";"untuk bosan; kehilangan minat; menjadi muak dengan; untuk merasa cukup"
"あくしゅ";"akushu";"jabat tangan, rekonsiliasi; bergandengan tangan; kerja sama ; langkah buruk (dalam catur, shogi, dll.) ; minuman keras murah"
"あくま";"akuma";"iblis; setan, Setan; Iblis, Māra; roh jahat atau kekuatan yang menghalangi jalan seseorang menuju pencerahan"
"明ける";"akeru";"untuk membuka (pintu, dll.); untuk membuka bungkusnya (misalnya parsel, paket); untuk membuka kunci, untuk membuka (untuk bisnis, dll.), untuk mengosongkan; untuk menghapus; untuk memberi ruang, untuk keluar; untuk membersihkan, menjauh dari (misalnya rumah seseorang); untuk pergi (sementara), sampai subuh; menjadi terang, untuk mengakhiri (suatu periode, musim), untuk memulai (Tahun Baru), untuk membiarkan (jadwal seseorang) terbuka; untuk menyediakan waktu (untuk), membuat (lubang); untuk membuka (sebuah lubang)"
"明後日";"asatte ; myougonichi";"lusa, salah (misalnya arah)"
"あした";"ashita";"pagi, sarapan, keesokan harinya ; besok, dalam waktu dekat ; fajar; Pagi; hari"
"あずける";"azukeru";"untuk pergi (dalam pemeliharaan seseorang); untuk menempatkan (dalam perawatan seseorang); untuk menempatkan (dalam tahanan seseorang); untuk mempercayakan (seseorang) dengan; untuk menyetor, menempatkan (seseorang) sebagai penanggung jawab; untuk meninggalkan (masalah) di tangan seseorang; membiarkan (seseorang) memutuskan, untuk bersandar; untuk menambah berat badan seseorang"
"あせ";"ase";"keringat, kelembaban; kondensasi, teguk; ups ; kamu (mengacu pada laki-laki)"
"値";"atai ; chi ; ne";"harga; biaya, nilai; bernilai; manfaat, nilai ; tingkat; nilai ; harga; biaya, nilai; bernilai; kemampuan"
"与える";"ataeru";"untuk memberi (khususnya kepada seseorang yang berstatus lebih rendah); untuk melimpahkan; untuk memberikan; untuk berunding; untuk menyajikan; untuk menghadiahkan, untuk menyediakan; untuk membeli; menawarkan; untuk memasok, untuk menetapkan, menyebabkan, meneruskan (variabel ke suatu fungsi)"
"あたたかい";"atatakai";"hangat; lembut; (menyenangkan) panas, penuh perhatian; baik; ramah, hangat (berwarna); lembut, punya cukup uang"
"あたり";"atari";"tekan, sukses, tebak; prediksi, keramahan, sensasi; sentuhan, memar (pada buah), situasi di mana batu atau rantai batu dapat tersangkut pada langkah selanjutnya (dalam permainan go), gigitan (ikan di kail); mogok, per; setiap ; (di) lingkungan; lingkungan; sekitarnya; di dekat sini, sekitar; tentang; atau sekitar itu, misalnya; mengatakan; seperti"
