"あ";"a";"SAYA; aku, diri sendiri, kamu, awalan yang menunjukkan keakraban atau penghinaan ; itu; benda itu, orang itu, lalu; waktu itu, tempat itu (di sana), di bawah sana (yaitu alat kelamin seseorang), titik; haid ; sub-, -ous (menunjukkan bilangan oksidasi rendah); -ite, Asia, Argentina, Arabia, Amerika; orang Amerika ; ah; oh, hei! ; kegaguan; gangguan bicara, bisu; bisu tuli ; huruf alfabet Sansekerta pertama, Afrika, Awa (provinsi lama Jepang), diawali pada nama untuk menunjukkan keintiman ; Asia; Kedua; digunakan sebagai awalan nama ; pesona, godaan ; penyakit kronis"
"ああ";"aa";"ah!; Oh!; sayang!, ya; Memang; itu benar, aah; ya; argh, hei!; kamu!, eh ya; ya ya; Kanan; kena kau ; seperti itu; Jadi ; caw (burung gagak, dll.) ; partikel akhir interogatif atau seruan ; pergi dari ; menyelidiki ; menangis, ah, sayang sekali"
"あいさつ";"aisatsu";"salam; sapaan; salut; bela sungkawa; selamat, pidato (ucapan selamat atau apresiasi); alamat, balas; tanggapan, balas dendam; pembalasan, hal yang baik untuk dikatakan, berdialog (dengan praktisi Zen lain untuk memastikan tingkat pencerahan mereka), hubungan (antar orang); koneksi, intervensi; mediasi; penengah"
"あう";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk ; untuk berkumpul; menggabungkan; untuk bersatu; untuk bertemu, untuk menyesuaikan diri; untuk mencocokkan; sesuai; untuk setuju dengan; menjadi benar, menjadi menguntungkan; bersikap adil, untuk melakukan... satu sama lain; untuk melakukan... bersama"
"あかちゃん";"akachan";"Sayang; bayi"
"あかんぼう";"akanbou";"Sayang; bayi"
"あげる";"ageru";"untuk meningkatkan; untuk meninggikan, mengangkat (rambut seseorang), terbang (layang-layang, dll.); untuk meluncurkan (kembang api, dll.); ke permukaan (kapal selam, dll.), mendarat (perahu), menggoreng, untuk mengajak seseorang (ke dalam ruangan), memberi, menyuruh seseorang (pergi), untuk mendaftarkan (anak seseorang bersekolah); untuk mendaftar, untuk meningkatkan (harga, kualitas, status, dll.); untuk mengembangkan (bakat, keterampilan); untuk meningkatkan, membuat (suara keras); meninggikan (suara), mendapatkan (sesuatu yang diinginkan), memuji, memberi (contoh, dsb.); mengutip, memanggil (seluruh energi seseorang, dll.), menangkap, menominasikan, memanggil (untuk geisha, dll.), mempersembahkan (dupa, doa, dll.) kepada para dewa (atau Buddha, dll.), untuk melahirkan (seorang anak), untuk melakukan (upacara, khususnya pernikahan), (saat air pasang) untuk masuk, muntah, untuk melakukan demi (demi orang lain), untuk menyelesaikan..., dengan rendah hati melakukan..."
"あさい";"asai";"dangkal, sedikit (luka); ringan (tidur); pucat (berwarna); tidak memadai (pengetahuan), pendek (waktu); lebih awal; muda"
"字";"aza ; ji ; azana";"bagian desa ; karakter (khususnya kanji); surat; teks tertulis, tulisan tangan, kata... (misalnya "kata L" = "cinta") ; Nama kesopanan Tionghoa (nama yang sebelumnya diberikan kepada pria dewasa Tionghoa, digunakan sebagai pengganti nama pemberian mereka dalam situasi formal), nama panggilan, bagian desa"
"明日";"ashita ; asu ; myounichi";"besok, dalam waktu dekat"
