"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"欠";"akubi ; ketsu";"menguap, kanji "menguap" radikal (radikal 76) ; kekurangan; lowongan, ketidakhadiran"
"遊";"aso.bu ; aso.basu ; yuu";"mengembara, bepergian"
"値";"atai ; chi ; ne";"harga; biaya, nilai; bernilai; manfaat, nilai ; tingkat; nilai ; harga; biaya, nilai; bernilai; kemampuan"
"争";"araso.u ; ika.deka ; sou";"berselisih, berkelahi, bersaing, berjuang"
"暗";"an";"kegelapan"
"位";"i ; kurai";"pangkat; tempat (misalnya tempat pertama), tempat desimal, penghitung hantu ; takhta; mahkota; kursi (bangsawan), posisi pemerintahan; pangkat pengadilan, kedudukan sosial; pangkat; kelas; eselon; anak tangga, tingkat (kualitas, dll.); tingkat; peringkat, posisi suatu angka (misalnya puluhan, ribuan); angka; (desimal) tempat, derajat; cakupan; jumlah"
"怒";"ika.ru ; oko.ru ; do ; nu";"kemarahan, gairah; marah"
"息";"iki ; oki ; soku ; musuko";"napas; pernapasan, nada; suasana hati ; anak, bunga (pinjaman, deposito, dll.) ; anak, penis"
"幾";"iku ; hotohoto";"beberapa, banyak, berapa banyak; berapa, sangat; banyak ; lumayan; sama sekali; Sungguh"
"戦";"ikusa ; sen";"perang; pertarungan; kampanye; melawan, pasukan; kekuatan ; perang; pertarungan, pertandingan; permainan; kompetisi"
"石";"ishi ; koku ; seki";"batu, permata; batu mulia, batu api (dalam korek api), batu (dalam perjalanan), batu (di kandung kemih, ginjal, dll.); kalkulus, batu (dalam batu-gunting-kertas); batu ; koku; satuan volume tradisional, kira-kira. 180,4 liter, ukuran kapasitas muatan kapal gaya Jepang (kira-kira 278,26 liter) ; penghitung perhiasan di jam tangan, penghitung transistor, dioda, dll. pada produk elektronik"
"忙";"isoga.shii ; sewa.shii ; oso.reru ; ureerusama ; bou ; mou";"sibuk, terdesak waktu; bergegas"
"痛";"ita ; tsuu";"Aduh; itu menyakitkan ; nyeri; sakit; -algia"
"到";"ita.ru ; tou";"pergi ke, tiba, berkunjung"
"頂";"itadaki";"mahkota (kepala); puncak (gunung); puncak menara, kemenangan mudah untuk satu, sesuatu diterima"
"市";"ichi ; shi";"pasar; adil ; kota"
"命";"inochi ; mei ; mikoto";"kehidupan; kekuatan hidup, seumur hidup; umur, hal yang paling penting; dasar; inti, tato berpasangan kanji "kehidupan" di lengan atas pria dan wanita (menunjukkan cinta yang tak tergoyahkan), takdir; karma ; memesan; memerintah; keputusan, hidup, takdir ; Yang mulia, Anda ; kata-kata yang diucapkan kaisar atau bangsawan"
"警";"imashi.meru ; kei";"penjaga, jaga; waspada, alarm"
"浮";"u.ku ; u.kareru ; u.kabu ; u.kaberu ; fu";"mengapung, melayang; melebihi; tak berguna"
"現";"utsutsu ; gen";"realitas; kesadaran ; saat ini (misalnya pemerintahan, administrasi); saat ini; yang ada"
"産";"ubu ; san";"tidak bersalah; naif; sederhana; tidak berpengalaman; hijau; basah di belakang telinga, lahir- ; melahirkan; persalinan; pengiriman; kurungan, asli dari; produk dari, aset; Properti; harta benda"
"馬";"uma ; ima ; oma";"kuda, balapan kuda, promosi uskup"
