"青";"ao";"biru, hijau, lampu hijau (lalu lintas), hitam (warna bulu kuda), biru kartu 5 poin, belum matang; mentah; muda"
"赤";"aka";"merah; merah tua, warna yang mengandung merah (misalnya coklat, merah muda, oranye), Merah (yaitu komunis), lampu merah (lalu lintas), tinta merah (misalnya di bidang keuangan atau pembacaan bukti); (dalam) warna merah, selesai; total; sempurna; jelas, tembaga, kartu 5 poin merah"
"秋";"aki ; toki";"musim gugur; jatuh ; waktu; jam; momen, kesempatan; kasus, peluang; musim, waktu; usia; hari, tegang"
"悪";"aku ; waru";"kejahatan, (peran) penjahat (di teater, dll.); Orang jahat ; orang jahat; bajingan; anak nakal, hal buruk; Tukang onar"
"朝";"asa ; ashita ; chou";"pagi, sarapan, keesokan harinya ; dinasti, masa pemerintahan, ; masa; usia, pengadilan, Korea Utara"
"字";"aza ; ji ; azana";"bagian desa ; karakter (khususnya kanji); surat; teks tertulis, tulisan tangan, kata... (misalnya "kata L" = "cinta") ; Nama kesopanan Tionghoa (nama yang sebelumnya diberikan kepada pria dewasa Tionghoa, digunakan sebagai pengganti nama pemberian mereka dalam situasi formal), nama panggilan, bagian desa"
"足";"ashi ; soku";"kaki; mengais; lengan (gurita, cumi-cumi, dll.), kaki, gaya berjalan, kecepatan, komponen struktural bawah (yaitu radikal) dari sebuah kanji, alat transportasi, uang; koin ; counter untuk pasang kaus kaki, sepatu, dll."
"味";"aji ; mi";"rasa, pesona; menarik; keunikan; daya tarik, pengalaman; rasa (misalnya kemenangan), pintar; cerdik; cerdas; aneh ; (indera) pengecap, penghitung makanan, minuman, obat-obatan, dll."
"兄";"ani ; kei ; nii ; konokami";"kakak ; kamu, Tuan, kakak laki-laki; kakak ; putra sulung, kakak laki-laki; kakak perempuan, orang yang lebih tua, kepala klan; kepala daerah, pengrajin terampil"
"姉";"ane ; shi ; nee";"kakak perempuan ; akhiran kehormatan digunakan setelah nama wanita yang statusnya setara atau lebih tinggi"
"主";"aruji ; omo ; shu ; shuu ; nushi ; nishi ; noshi ; su";"kepala (rumah tangga); pemilik (toko); pemilik; Tuan Rumah; induk semang; tuan (dari seorang pelayan), menjamu seseorang sebagai tamunya ; ketua; utama; kepala sekolah; penting, peran sekunder atau pendukung utama (dalam kyogen) ; (seseorang) tuan, Tuhan, yang utama; mayoritas; perhatian utama ; kepala (rumah tangga, dll.); pemimpin; tuan, pemilik, subjek (rumor, dll.); pelaku (suatu perbuatan), roh penjaga (misalnya binatang yang sudah lama menetap, biasanya dengan kekuatan mistik); penduduk lama (atau karyawan, dll.), suami, Anda ; akhiran kehormatan (atau familiar) yang digunakan setelah nama"
"意";"i";"perasaan; pikiran, arti"
"医";"i ; kusushi";"obat-obatan; seni penyembuhan; menyembuhkan, dokter"
"家";"ie ; uchi ; ke ; ya ; ka ; nchi";"rumah; tempat tinggal, keluarga; rumah tangga, keturunan; nama keluarga ; rumah, rumah seseorang; keluarga seseorang; rumah tangga seseorang ; rumah (misalnya Tokugawa); keluarga ; toko; restoran, seseorang yang menjual (sesuatu) atau bekerja sebagai (sesuatu), seseorang dengan ciri kepribadian (tertentu), rumah, atap ; -ist; -eh ; rumah; di rumah"
"古";"inishie ; furu";"jaman dahulu; zaman kuno ; barang bekas, lama; digunakan; sebelumnya"
"犬";"inu";"anjing (Canis (lupus) familiaris), squealer; tikus; mengadu; pelapor; informan; mata-mata, pecundang; bajingan, palsu; lebih rendah; tidak berguna; boros"
"妹";"imouto";"adik perempuan ; sayang (wanita); Sayang; tunanganku, saudara perempuan, temanku"
"色";"iro ; shoku ; shiki";"warna; semburat; bayangan, kulit; warna kulit, penampilan (di wajah seseorang); ekspresi, penampilan; udara; perasaan, kepribadian; karakter, nada (suara seseorang, dll.); lagu; suara; cincin, cinta; nafsu; sensualitas; hubungan cinta, kekasih, kecantikan; daya tarik kelamin; daya tarik fisik, jenis; variasi ; counter untuk warna ; rupa (bentuk), objek yang terlihat (yaitu warna dan bentuk)"
"院";"in";"gedung parlemen (kongres, diet, dll.), sekolah pascasarjana, institusi (seringkali kedokteran); pembangunan kelembagaan; kantor pemerintah, subcandi; bangunan candi kecil; biara, istana kekaisaran, gelar yang diberikan kepada permaisuri, putri, dll., mantan (khususnya kaisar, daimyo, dll.); terlambat"
"飲";"in";"minum (terkadang khususnya alkohol); pesta minum"
"員";"in";"anggota"
"売";"u.ru ; u.reru ; bai";"menjual; [BUKAN casing, cangkang, sekam]"
"牛";"ushi ; gyuu";"sapi (Bos taurus); sapi; banteng; betis, daging sapi, Rasi bintang "Sapi" Cina (salah satu dari 28 rumah mewah)"
"歌";"uta";"lagu; bernyanyi, puisi klasik Jepang (khususnya tanka), puisi modern"
"写";"utsu.su ; utsu.ru ; utsu- ; utsu.shi ; sha ; ja";"menulis; menggambar, membuat sketsa; menyusun"
"映";"utsu.ru ; utsu.su ; ha.eru ; -ba.e ; ei";"proyek; memantulkan cahaya"
"海";"umi ; wata ; wada";"laut; perairan"
"運";"un";"harta benda; keberuntungan"
"駅";"eki";"Stasiun kereta; stasiun kereta api, pos pementasan di jalan raya (di Jepang pra-modern), konter untuk stasiun kereta api dan terminal bus"
"特";"oushi ; toku";"istimewa, unik"
