"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"あお";"ao";"biru, hijau, lampu hijau (lalu lintas), hitam (warna bulu kuda), biru kartu 5 poin, belum matang; mentah; muda ; pakaian sehari-hari yang dikenakan oleh pria di Jepang kuno"
"あおい";"aoi";"mallow (tanaman apa pun dari famili Malvaceae), Asarum caulescens (spesies jahe liar), hollyhock ; biru, hijau, pucat; abu-abu, mentah; tidak berpengalaman"
"あか";"aka";"merah; merah tua, warna yang mengandung merah (misalnya coklat, merah muda, oranye), Merah (yaitu komunis), lampu merah (lalu lintas), tinta merah (misalnya di bidang keuangan atau pembacaan bukti); (dalam) warna merah, selesai; total; sempurna; jelas, tembaga, kartu 5 poin merah ; kotoran ; tembaga (Cu), perunggu (medali) ; air lambung kapal ; persembahan air kepada Buddha; air suci ; subfamili ; tiba-tiba, mencerahkan, menerangi"
"あかい";"akai";"merah; merah tua; kirmizi; merah terang, Merah; komunis, cantik ; sub-kerajaan ; tiba-tiba, mencerahkan, menerangi"
"あかるい";"akarui";"lampu; cukup terang, terang (berwarna); berwarna cerah, ceria; terang; bersemangat; cerah (misalnya disposisi), mendorong (untuk masa depan suatu proyek, dll.); menjanjikan; prospek yang adil, akrab (dengan); berpengetahuan (tentang); berpengalaman (dalam), adil (misalnya politik); membersihkan; tidak memihak"
"あき";"aki";"musim gugur; jatuh ; ruang angkasa; ruang; celah; kekosongan, kekosongan; pembukaan; kursi kosong, waktu luang, tidak digunakan; barang yang tidak terpakai ; kelelahan; kebosanan; melelahkan ; Aki (bekas provinsi yang terletak di sebelah barat Prefektur Hiroshima saat ini)"
"あく";"aku";"kejahatan, (peran) penjahat (di teater, dll.); Orang jahat ; untuk membuka (misalnya pintu), membuka (misalnya bisnis, dll.), menjadi kosong, menjadi kosong; untuk tersedia; bebas, terbuka (misalnya garis leher, dll.), telah terbuka (mata, mulut, dll.), berakhir, membuka (mata, mulut, dll.), memiliki Lubang; untuk membentuk celah; untuk memiliki interval (antara peristiwa) ; bosan; kehilangan minat, untuk merasa puas; untuk menikmati, melakukan secara memadai ; pegang, pegang erat-erat, ambil dengan tangan ; basahi, rendam; bagus, dalam; pewarna; memperkaya ; alkali, rasa keras; rasa pahit; rasa basa; astringency, sampah (pada sup, kaldu, dll.), (berlebihan) ketegasan diri; individualitas yang kuat; keistimewaan yang kuat ; mengertakkan gigi, rewel"
"あける";"akeru";"untuk membuka (pintu, dll.); untuk membuka bungkusnya (misalnya parsel, paket); untuk membuka kunci, untuk membuka (untuk bisnis, dll.), untuk mengosongkan; untuk menghapus; untuk memberi ruang, untuk keluar; untuk membersihkan, menjauh dari (misalnya rumah seseorang); untuk pergi (sementara), sampai subuh; menjadi terang, untuk mengakhiri (suatu periode, musim), untuk memulai (Tahun Baru), untuk membiarkan (jadwal seseorang) terbuka; untuk menyediakan waktu (untuk), membuat (lubang); untuk membuka (sebuah lubang)"
"上げる";"ageru";"untuk meningkatkan; untuk meninggikan, mengangkat (rambut seseorang), terbang (layang-layang, dll.); untuk meluncurkan (kembang api, dll.); ke permukaan (kapal selam, dll.), mendarat (perahu), menggoreng, untuk mengajak seseorang (ke dalam ruangan), memberi, menyuruh seseorang (pergi), untuk mendaftarkan (anak seseorang bersekolah); untuk mendaftar, untuk meningkatkan (harga, kualitas, status, dll.); untuk mengembangkan (bakat, keterampilan); untuk meningkatkan, membuat (suara keras); meninggikan (suara), mendapatkan (sesuatu yang diinginkan), memuji, memberi (contoh, dsb.); mengutip, memanggil (seluruh energi seseorang, dll.), menangkap, menominasikan, memanggil (untuk geisha, dll.), mempersembahkan (dupa, doa, dll.) kepada para dewa (atau Buddha, dll.), untuk melahirkan (seorang anak), untuk melakukan (upacara, khususnya pernikahan), (saat air pasang) untuk masuk, muntah, untuk melakukan demi (demi orang lain), untuk menyelesaikan..., dengan rendah hati melakukan..."
"あさ";"asa";"pagi, sarapan, keesokan harinya ; ganja (Cannabis sativa); rami (tanaman), rami (serat); linen; lenan; rami ; fajar; Pagi; hari ; menandai garis, memastikan, menilai, mengukur"
